character	code_point	kMandarin17	CNS11643	policy
㨕	U+3A15	yíng	luò yíng	kMandarin17 retained
㨙	U+3A19	xié	xì xié	kMandarin17 retained
㨚	U+3A1A	xún	xún sǔn	kMandarin17 retained
㨛	U+3A1B	shǎn	shǎn shàn yàn	kMandarin17 retained
㨝	U+3A1D	xiē	xiè	kMandarin17 retained
㨟	U+3A1F	hāi	gāi hái	kMandarin17 retained
㨠	U+3A20	mì	miǎn	kMandarin17 retained
㨡	U+3A21	hún	gǔn hún	kMandarin17 retained
㨩	U+3A29	jié	tíng tǐng jié	kMandarin17 retained
㨯	U+3A2F	huò	kuò	kMandarin17 retained
㨰	U+3A30	gǔn	gùn	kMandarin17 retained
㨳	U+3A33	guǐ	guǐ jǐ jì	kMandarin17 retained
㨵	U+3A35	jiǎn	jiǎn qiān qián	kMandarin17 retained
㨷	U+3A37	jìn	jiān jìn	kMandarin17 retained
㨹	U+3A39	huì	xuě zuì	kMandarin17 retained
㨼	U+3A3C	lüè	liào lüè	kMandarin17 retained
㨽	U+3A3D	pì	pì fù	kMandarin17 retained
㩁	U+3A41	què	huō què	kMandarin17 retained
㩃	U+3A43	qiān	jiǎn qiān	kMandarin17 retained
㩆	U+3A46	jiù	jiù cù	kMandarin17 retained
㩇	U+3A47	huò	huá huò xù zuó	kMandarin17 retained
㩉	U+3A49	dá	dá tā tà lā xī	kMandarin17 retained
㩋	U+3A4B	xiāo	xiāo sù	kMandarin17 retained
㩎	U+3A4E	yè	yè yàng	kMandarin17 retained
㩔	U+3A54	tún	diàn tún	kMandarin17 retained
㩗	U+3A57	xí	xī xié	kMandarin17 retained
㩘	U+3A58	nǐ	xī yǐ	kMandarin17 retained
㩙	U+3A59	sāi	sè sāi sài sēi	kMandarin17 retained
㩛	U+3A5B	tuán	bó tuán zhuàn	kMandarin17 retained
㩞	U+3A5E	cì	cè	kMandarin17 retained
㩠	U+3A60	āo	póu piǎo lù āo áo	kMandarin17 retained
㩦	U+3A66	xié	xī xié	kMandarin17 retained
㩪	U+3A6A	xié	jí jié xié	kMandarin17 retained
㩭	U+3A6D	bó	gǎo jiǎo	kMandarin17 retained
㩮	U+3A6E	qián	qiān	kMandarin17 retained
㩰	U+3A70	jiǎo	jiǎo chāo cháo	kMandarin17 retained
㩲	U+3A72	kǔn	quán	kMandarin17 retained
㩴	U+3A74	jú	jū qú	kMandarin17 retained
㩶	U+3A76	niè	niē niǎn	kMandarin17 retained
㩻	U+3A7B	qī	guǐ guì qī	kMandarin17 retained
㩾	U+3A7E	zhuì	qí zhuī	kMandarin17 retained
㪁	U+3A81	qín	kān qiān qiàn qín	kMandarin17 retained
㪅	U+3A85	gèng	gēng gèng jīng	kMandarin17 retained
㪉	U+3A89	hé	gé hé	kMandarin17 retained
㪋	U+3A8B	hàn	hě hàn	kMandarin17 retained
㪌	U+3A8C	tǒng	tǒng sǒng	kMandarin17 retained
㪎	U+3A8E	shǎn	nà shǎn	kMandarin17 retained
㪓	U+3A93	chuái	chái	kMandarin17 retained
㪔	U+3A94	sàn	sān sǎn sàn	kMandarin17 retained
㪕	U+3A95	diào	diào chuò	kMandarin17 retained
㪚	U+3A9A	sàn	sǎn sàn	kMandarin17 retained
㪜	U+3A9C	chuǎi	duǒ chuǎi	kMandarin17 retained
㪠	U+3AA0	qiān	jiān qiān qiàn	kMandarin17 retained
㪡	U+3AA1	kài	kè	kMandarin17 retained
㪢	U+3AA2	shǎo	shāo	kMandarin17 retained
㪣	U+3AA3	xiāo	qiāo	kMandarin17 retained
㪬	U+3AAC	chuō	zhuó	kMandarin17 retained
㪯	U+3AAF	chá	jǔ	kMandarin17 retained
㪶	U+3AB6	hú	hú hù	kMandarin17 retained
㪾	U+3ABE	luò	luò gé	kMandarin17 retained
㪿	U+3ABF	zhé	zhē zhé shé	kMandarin17 retained
㫄	U+3AC4	páng	bàng páng péng	kMandarin17 retained
㫅	U+3AC5	chá	qí	kMandarin17 retained
㫊	U+3ACA	yǐ	ě yǐ	kMandarin17 retained
㫎	U+3ACE	huī	gǔn huī	kMandarin17 retained
㫑	U+3AD1	zhǐ	zhǐ zhù shí	kMandarin17 retained
㫒	U+3AD2	gǒng	gōng	kMandarin17 retained
㫓	U+3AD3	qǐ	qì	kMandarin17 retained
㫔	U+3AD4	gèn	mín gěn gèn yín	kMandarin17 retained
㫚	U+3ADA	hū	hū wù wěn	kMandarin17 retained
㫜	U+3ADC	tǎn	dàn tǎn	kMandarin17 retained
㫥	U+3AE5	mǐng	míng mǐng zhāo zhān	kMandarin17 retained
㫧	U+3AE7	bào	bào pù	kMandarin17 retained
㫯	U+3AEF	mào	mò mào méng	kMandarin17 retained
㫰	U+3AF0	làng	lǎng làng	kMandarin17 retained
㫱	U+3AF1	nǎn	nǎn nàn	kMandarin17 retained
㫲	U+3AF2	bèi	bó bèi	kMandarin17 retained
㫵	U+3AF5	fēi	féi	kMandarin17 retained
㫼	U+3AFC	dié	zhé	kMandarin17 retained
㬄	U+3B04	chàn	nǎn nàn	kMandarin17 retained
㬅	U+3B05	màn	màn wàn	kMandarin17 retained
㬉	U+3B09	nuǎn	nuǎn xuān	kMandarin17 retained
㬍	U+3B0D	bó	pù	kMandarin17 retained
㬐	U+3B10	jìn	jìn zī	kMandarin17 retained
㬗	U+3B17	xiàn	niàn	kMandarin17 retained
㬝	U+3B1D	céng	sōng	kMandarin17 retained
㬞	U+3B1E	hè	hè yè	kMandarin17 retained
㬠	U+3B20	shài	shā shà shài	kMandarin17 retained
㬡	U+3B21	líng	līng	kMandarin17 retained
㬪	U+3B2A	dié	dá dié	kMandarin17 retained
㬭	U+3B2D	jiào	jiào jué	kMandarin17 retained
㬰	U+3B30	yú	yú yǒng	kMandarin17 retained
㬵	U+3B35	xiáo	jiāo	kMandarin17 retained
㬻	U+3B3B	huāng	hāng huāng huǎng	kMandarin17 retained
㭏	U+3B4F	wěi	huī wěi	kMandarin17 retained
㭑	U+3B51	mèi	mò mèi zhū	kMandarin17 retained
㭒	U+3B52	sì	sì yí	kMandarin17 retained
㭓	U+3B53	biàn	biàn pàn fān fèn guān	kMandarin17 retained
㭘	U+3B58	gé	gé hé xiá shī shí shè	kMandarin17 retained
㭛	U+3B5B	pài	bà pài	kMandarin17 retained
㭟	U+3B5F	gǒng	gōng gǒng	kMandarin17 retained
㭡	U+3B61	xì	xì xìn	kMandarin17 retained
㭢	U+3B62	xīn	xīng	kMandarin17 retained
㭤	U+3B64	niǎo	mù niǎo	kMandarin17 retained
㭨	U+3B68	xié	yé	kMandarin17 retained
㭩	U+3B69	liè	lè liè	kMandarin17 retained
㭬	U+3B6C	zhuó	zhū	kMandarin17 retained
㭭	U+3B6D	bā	bā bèi biē bié fèi	kMandarin17 retained
㭮	U+3B6E	zuò	zá zǎn	kMandarin17 retained
㭯	U+3B6F	zhé	zhé chè	kMandarin17 retained
㭰	U+3B70	zuī	zuī zuǐ	kMandarin17 retained
㭱	U+3B71	hé	hé xiá	kMandarin17 retained
㭺	U+3B7A	yǎn	ān yān	kMandarin17 retained
㮂	U+3B82	jú	jū	kMandarin17 retained
㮄	U+3B84	bǎng	bǎng bèng	kMandarin17 retained
㮆	U+3B86	niè	niè è	kMandarin17 retained
㮋	U+3B8B	yǒu	yǒu yù	kMandarin17 retained
㮏	U+3B8F	nài	nà nài nì	kMandarin17 retained
㮐	U+3B90	shěng	xǐng	kMandarin17 retained
㮑	U+3B91	chā	qì chā	kMandarin17 retained
㮒	U+3B92	yān	rǎn yīn	kMandarin17 retained
㮓	U+3B93	gèn	gèn gèng hù	kMandarin17 retained
㮔	U+3B94	chòng	tóng chòng	kMandarin17 retained
㮛	U+3B9B	chí	chí yí	kMandarin17 retained
㮣	U+3BA3	gài	gài kài	kMandarin17 retained
㮩	U+3BA9	xī	xí	kMandarin17 retained
㮫	U+3BAB	hé	hé qià xiá	kMandarin17 retained
㮭	U+3BAD	xián	hán jiān xián	kMandarin17 retained
㮮	U+3BAE	jié	jié jú	kMandarin17 retained
㮯	U+3BAF	hún	huá hún hùn	kMandarin17 retained
㮰	U+3BB0	pí	bié pí	kMandarin17 retained
㮱	U+3BB1	shēn	shēng	kMandarin17 retained
㮵	U+3BB5	zhān	dān zhān	kMandarin17 retained
㮹	U+3BB9	zhǐ	zhì	kMandarin17 retained
㯅	U+3BC5	pí	bī pí	kMandarin17 retained
㯆	U+3BC6	chǎn	chǎn shàn	kMandarin17 retained
㯉	U+3BC9	huò	huà shū	kMandarin17 retained
㯌	U+3BCC	chuán	chuán yuán	kMandarin17 retained
㯏	U+3BCF	gǔ	gǔ xīn xīng	kMandarin17 retained
㯐	U+3BD0	fǎng	tuǒ	kMandarin17 retained
㯚	U+3BDA	tā	dá tā	kMandarin17 retained
㯜	U+3BDC	cuì	zuó cuì	kMandarin17 retained
㯡	U+3BE1	pào	páo pào	kMandarin17 retained
㯥	U+3BE5	cáo	zāo	kMandarin17 retained
㯦	U+3BE6	qí	jī qí	kMandarin17 retained
㯪	U+3BEA	líng	líng lìng	kMandarin17 retained
㯯	U+3BEF	gòng	dǎn gǎn gòng jù	kMandarin17 retained
㯰	U+3BF0	zhé	zhí	kMandarin17 retained
㯳	U+3BF3	qíng	jìng qíng	kMandarin17 retained
㯿	U+3BFF	liè	là liè	kMandarin17 retained
㰃	U+3C03	mián	mián miàn	kMandarin17 retained
㰄	U+3C04	jiàn	jiān jiàn	kMandarin17 retained
㰅	U+3C05	dí	dí zhé	kMandarin17 retained
㰆	U+3C06	bèi	bài bù fú	kMandarin17 retained
㰈	U+3C08	liǎn	liàn	kMandarin17 retained
㰐	U+3C10	jué	tuǒ	kMandarin17 retained
㰖	U+3C16	lǎn	lán lǎn	kMandarin17 retained
㰗	U+3C17	qí	cù	kMandarin17 retained
㰙	U+3C19	nuó	nuǒ	kMandarin17 retained
㰟	U+3C1F	jì	jí jì qì chī	kMandarin17 retained
㰤	U+3C24	hē	hē hě qiè ō	kMandarin17 retained
㰥	U+3C25	xì	huì xì	kMandarin17 retained
㰦	U+3C26	qù	qū qù	kMandarin17 retained
㰯	U+3C2F	kòu	tòu hòu	kMandarin17 retained
㰰	U+3C30	xiā	hē qiè xià	kMandarin17 retained
㰲	U+3C32	yū	xù yù	kMandarin17 retained
㰳	U+3C33	yà	yā yà	kMandarin17 retained
㰴	U+3C34	pǒu	pòu	kMandarin17 retained
㰶	U+3C36	yǒu	ǒu yǒu	kMandarin17 retained
㰷	U+3C37	zì	zī zì cì	kMandarin17 retained
㰹	U+3C39	xiān	hān hǎn xiān	kMandarin17 retained
㰺	U+3C3A	xià	xiá xià	kMandarin17 retained
㰻	U+3C3B	yǐ	hòu xī yǐ	kMandarin17 retained
㰼	U+3C3C	shà	qiè shà	kMandarin17 retained
㱀	U+3C40	chǐ	chǐ chuò	kMandarin17 retained
㱁	U+3C41	shì	kuǎn suì	kMandarin17 retained
㱃	U+3C43	yǐn	yǐn yìn	kMandarin17 retained
㱄	U+3C44	hēi	mò hēi	kMandarin17 retained
㱅	U+3C45	yì	yí yì	kMandarin17 retained
㱌	U+3C4C	yé	chè yé	kMandarin17 retained
㱏	U+3C4F	zhèng	dìng zhēng zhèng	kMandarin17 retained
㱔	U+3C54	xiē	xiē suò	kMandarin17 retained
㱘	U+3C58	àn	yǎn yàn	kMandarin17 retained
㱙	U+3C59	xiǔ	guǎ xiǔ	kMandarin17 retained
㱚	U+3C5A	cán	cán wā	kMandarin17 retained
㱛	U+3C5B	chuǎn	bù chuǎn	kMandarin17 retained
㱞	U+3C5E	yì	lā yì	kMandarin17 retained
㱟	U+3C5F	pī	pī pǐ	kMandarin17 retained
㱠	U+3C60	kū	gū kū	kMandarin17 retained
㱤	U+3C64	xī	xí	kMandarin17 retained
㱥	U+3C65	líng	lěng lèng líng	kMandarin17 retained
㱧	U+3C67	wò	wò yuǎn	kMandarin17 retained
㱨	U+3C68	liàn	lián liàn	kMandarin17 retained
㱪	U+3C6A	mèn	hūn	kMandarin17 retained
㱮	U+3C6E	kuài	kuì	kMandarin17 retained
㱶	U+3C76	péng	bēng péng	kMandarin17 retained
㱽	U+3C7D	zhěn	qín zhěn	kMandarin17 retained
㱾	U+3C7E	gāi	gāi kāi	kMandarin17 retained
㱿	U+3C7F	què	ké huò qiào què	kMandarin17 retained
㲀	U+3C80	zhēn	zhēn chén	kMandarin17 retained
㲁	U+3C81	kōng	kōng zhōng	kMandarin17 retained
㲄	U+3C84	jué	jué yù	kMandarin17 retained
㲈	U+3C88	sháo	táo sháo shào	kMandarin17 retained
㲌	U+3C8C	nèng	nìng	kMandarin17 retained
㲎	U+3C8E	lóu	lǘ	kMandarin17 retained
㲓	U+3C93	róng	shù	kMandarin17 retained
㲘	U+3C98	qú	tǎn qú	kMandarin17 retained
㲜	U+3C9C	tán	tǎn	kMandarin17 retained
㲝	U+3C9D	rǒng	mào rǒng	kMandarin17 retained
㲞	U+3C9E	sū	zú sù	kMandarin17 retained
㲠	U+3CA0	máo	máo lí	kMandarin17 retained
㲨	U+3CA8	róng	róng rǒng	kMandarin17 retained
㲯	U+3CAF	rán	lán rán	kMandarin17 retained
㲳	U+3CB3	dié	dié zhì	kMandarin17 retained
㲶	U+3CB6	lǜ	lù lǜ	kMandarin17 retained
㲹	U+3CB9	guǐ	fǎn fàn guǐ jǐ	kMandarin17 retained
㲺	U+3CBA	jí	jī	kMandarin17 retained
㲻	U+3CBB	nì	nì niào	kMandarin17 retained
㲽	U+3CBD	niàn	niàn rěn	kMandarin17 retained
㲾	U+3CBE	yǔ	yǔ yù	kMandarin17 retained
㳂	U+3CC2	yán	yán yàn	kMandarin17 retained
㳄	U+3CC4	xián	xián zī cì yàn	kMandarin17 retained
㳅	U+3CC5	jiǎo	liú	kMandarin17 retained
㳇	U+3CC7	fù	wù	kMandarin17 retained
㳊	U+3CCA	yōu	mò xì zhōng yōu	kMandarin17 retained
㳐	U+3CD0	zhá	chá	kMandarin17 retained
㳒	U+3CD2	biàn	fā fá fǎ fà	kMandarin17 retained
㳗	U+3CD7	chài	chà chài	kMandarin17 retained
㳙	U+3CD9	xuàn	juān	kMandarin17 retained
㳛	U+3CDB	yú	yóu yú	kMandarin17 retained
㳡	U+3CE1	guō	guō wō	kMandarin17 retained
㳧	U+3CE7	chè	chè rè	kMandarin17 retained
㳨	U+3CE8	jiǎn	zá	kMandarin17 retained
㳫	U+3CEB	zǎn	tà zǎn	kMandarin17 retained
㳭	U+3CED	xián	xián yàn	kMandarin17 retained
㳮	U+3CEE	niào	niào suī	kMandarin17 retained
㳶	U+3CF6	nǒu	nǒu rǔ	kMandarin17 retained
㳹	U+3CF9	wǎng	wǎng wàng	kMandarin17 retained
㳽	U+3CFD	mǐ	mí mǐ	kMandarin17 retained
㳿	U+3CFF	xiè	dié xiè	kMandarin17 retained
㴀	U+3D00	fàn	fān	kMandarin17 retained
㴄	U+3D04	yǒng	jiǒng wěng	kMandarin17 retained
㴆	U+3D06	jìn	jīn jìn	kMandarin17 retained
㴉	U+3D09	jǐ	jǐ jì	kMandarin17 retained
㴋	U+3D0B	sù	xiāo sū sù	kMandarin17 retained
㴐	U+3D10	miàn	miǎn miàn	kMandarin17 retained
㴑	U+3D11	sù	shuò sù suò	kMandarin17 retained
㴔	U+3D14	jí	xī xì sè yì	kMandarin17 retained
㴖	U+3D16	luò	bó pò luò	kMandarin17 retained
㴜	U+3D1C	biàn	biàn piàn	kMandarin17 retained
㴦	U+3D26	guàn	gōng	kMandarin17 retained
㴧	U+3D27	xī	xí	kMandarin17 retained
㴳	U+3D33	lǒng	měng	kMandarin17 retained
㴴	U+3D34	chén	dān zhàn	kMandarin17 retained
㴶	U+3D36	què	hú què	kMandarin17 retained
㴿	U+3D3F	dǐng	dǐng tìng	kMandarin17 retained
㵅	U+3D45	tān	tān tàn	kMandarin17 retained
㵆	U+3D46	gǎo	hào	kMandarin17 retained
㵐	U+3D50	jué	què	kMandarin17 retained
㵒	U+3D52	fèi	bì pài fèi fú	kMandarin17 retained
㵦	U+3D66	suí	suǐ	kMandarin17 retained
㵧	U+3D67	gé	gé yì	kMandarin17 retained
㵨	U+3D68	pì	bò pì	kMandarin17 retained
㵪	U+3D6A	xián	xián yàn	kMandarin17 retained
㵱	U+3D71	piǎo	piāo piǎo piào	kMandarin17 retained
㵵	U+3D75	zòu	jù zòu	kMandarin17 retained
㵹	U+3D79	huán	mò	kMandarin17 retained
㶁	U+3D81	guó	biāo guó huò	kMandarin17 retained
㶅	U+3D85	xué	xiào xué	kMandarin17 retained
㶆	U+3D86	zhū	zhū chú	kMandarin17 retained
㶏	U+3D8F	yīn	yǐn	kMandarin17 retained
㶒	U+3D92	shǎn	tàn shǎn shěn	kMandarin17 retained
㶔	U+3D94	bèi	bài	kMandarin17 retained
㶟	U+3D9F	lěi	léi lěi	kMandarin17 retained
㶡	U+3DA1	dài	huǒ	kMandarin17 retained
㶣	U+3DA3	chán	tán chán yín	kMandarin17 retained
㶥	U+3DA5	gān	tán chán yín	kMandarin17 retained
㶧	U+3DA7	nèn	něn nèn	kMandarin17 retained
㶫	U+3DAB	liǎo	liáo liǎo liào	kMandarin17 retained
㶼	U+3DBC	āi	xī āi	kMandarin17 retained
㷅	U+3DC5	chǎo	chá	kMandarin17 retained
㷉	U+3DC9	wèi	wèi yù yùn	kMandarin17 retained
㷊	U+3DCA	fén	fén fèn	kMandarin17 retained
㷎	U+3DCE	hè	hè yè	kMandarin17 retained
㷗	U+3DD7	jiǒng	jǐng jiǒng	kMandarin17 retained
㷟	U+3DDF	tuì	tuī	kMandarin17 retained
㷪	U+3DEA	cuì	juǎn	kMandarin17 retained
㷯	U+3DEF	bèng	pěng	kMandarin17 retained
㷰	U+3DF0	chī	lí chī	kMandarin17 retained
㷴	U+3DF4	gé	lì	kMandarin17 retained
㷶	U+3DF6	bèi	bì	kMandarin17 retained
㷷	U+3DF7	juǎn	juǎn juàn zuī	kMandarin17 retained
㷹	U+3DF9	zhào	zhào shào	kMandarin17 retained
㷻	U+3DFB	wú	mó wú	kMandarin17 retained
㷼	U+3DFC	yàn	yān yàn	kMandarin17 retained
㸀	U+3E00	tái	dǎi tái	kMandarin17 retained
㸁	U+3E01	hǎn	hàn	kMandarin17 retained
㸄	U+3E04	jì	jī jì qí	kMandarin17 retained
㸆	U+3E06	kào	kǎo	kMandarin17 retained
㸉	U+3E09	xiè	xiē xiè	kMandarin17 retained
㸊	U+3E0A	lài	là lài	kMandarin17 retained
㸒	U+3E12	yín	rén yín	kMandarin17 retained
㸚	U+3E1A	lǐ	lǐ lì	kMandarin17 retained
㸝	U+3E1D	xiān	kǎn xiān	kMandarin17 retained
㸠	U+3E20	tiǎo	diào tiào	kMandarin17 retained
㸣	U+3E23	yè	niè yè	kMandarin17 retained
㸤	U+3E24	piàn	biàn piàn	kMandarin17 retained
㸥	U+3E25	chàn	chán	kMandarin17 retained
㸧	U+3E27	kèn	kěn yín	kMandarin17 retained
㸩	U+3E29	ān	án	kMandarin17 retained
㸪	U+3E2A	chún	xún chún	kMandarin17 retained
㸫	U+3E2B	qián	kē jiān qián	kMandarin17 retained
㸷	U+3E37	shì	chì shì	kMandarin17 retained
㸸	U+3E38	hǒu	kǒu hǒu ǒu	kMandarin17 retained
㸹	U+3E39	liè	lè liè	kMandarin17 retained
㹀	U+3E40	bó	zì	kMandarin17 retained
㹇	U+3E47	hé	hé jiān qián	kMandarin17 retained
㹉	U+3E49	yuán	wán yuán	kMandarin17 retained
㹒	U+3E52	pǔ	pú	kMandarin17 retained
㹖	U+3E56	huàn	huàn quán	kMandarin17 retained
㹚	U+3E5A	yíng	wěng	kMandarin17 retained
㹞	U+3E5E	yín	yái yán yín	kMandarin17 retained
㹟	U+3E5F	jué	guài jué	kMandarin17 retained
㹡	U+3E61	xuán	juàn xuán	kMandarin17 retained
㹤	U+3E64	qiè	qiè què	kMandarin17 retained
㹬	U+3E6C	shǐ	shǐ shì	kMandarin17 retained
㹭	U+3E6D	yì	sì	kMandarin17 retained
㹮	U+3E6E	mò	bó mò	kMandarin17 retained
㹲	U+3E72	xiāo	xiāo xiào	kMandarin17 retained
㹳	U+3E73	wú	wú wù	kMandarin17 retained
㹶	U+3E76	tíng	yán	kMandarin17 retained
㹷	U+3E77	shǐ	xī xǐ	kMandarin17 retained
㹸	U+3E78	ní	mào	kMandarin17 retained
㹻	U+3E7B	wō	wō wēi	kMandarin17 retained
㹾	U+3E7E	piǎo	piǎo jiào	kMandarin17 retained
㹿	U+3E7F	zhuó	zhào zhuó	kMandarin17 retained
㺀	U+3E80	hū	náo hū rǎo	kMandarin17 retained
㺂	U+3E82	yán	gǎn yán	kMandarin17 retained
㺄	U+3E84	yǔ	yú yǔ	kMandarin17 retained
㺍	U+3E8D	pín	biān	kMandarin17 retained
㺎	U+3E8E	róng	yōng yóng	kMandarin17 retained
㺑	U+3E91	shān	shān shǎn shàn sāo	kMandarin17 retained
㺒	U+3E92	xiāo	nǎo qiāo xiāo	kMandarin17 retained
㺓	U+3E93	zé	jī	kMandarin17 retained
㺔	U+3E94	hài	hài huī	kMandarin17 retained
㺕	U+3E95	fán	biàn fán	kMandarin17 retained
㺖	U+3E96	hǎn	hàn	kMandarin17 retained
㺚	U+3E9A	tǎ	tǎ tà	kMandarin17 retained
㺝	U+3E9D	hàn	xiàn	kMandarin17 retained
㺢	U+3EA2	huò	huō	kMandarin17 retained
㺩	U+3EA9	jiù	bā	kMandarin17 retained
㺫	U+3EAB	qiú	bā	kMandarin17 retained
㺬	U+3EAC	gǒng	gōng gǒng gòng xìn	kMandarin17 retained
㺵	U+3EB5	jiú	jiǔ	kMandarin17 retained
㺺	U+3EBA	mào	mèi mào	kMandarin17 retained
㻅	U+3EC5	huì	kuài huì	kMandarin17 retained
㻊	U+3ECA	máng	mén	kMandarin17 retained
㻋	U+3ECB	là	là jí	kMandarin17 retained
㻎	U+3ECE	lì	sè	kMandarin17 retained
㻗	U+3ED7	bèi	bèi pèi fèi	kMandarin17 retained
㻞	U+3EDE	bīn	bān bīn	kMandarin17 retained
㻡	U+3EE1	xuē	dié xiè	kMandarin17 retained
㻪	U+3EEA	suì	xuán suì	kMandarin17 retained
㻬	U+3EEC	tū	tū tú	kMandarin17 retained
㻰	U+3EF0	miǎn	zhì wèi	kMandarin17 retained
㻱	U+3EF1	jīn	féng jīn	kMandarin17 retained
㻲	U+3EF2	lǚ	liú	kMandarin17 retained
㻽	U+3EFD	suì	xuán suì	kMandarin17 retained
㼇	U+3F07	qióng	qióng xī wèi	kMandarin17 retained
㼋	U+3F0B	gū	gū rǔ	kMandarin17 retained
㼛	U+3F1B	xíng	jiān xíng yán	kMandarin17 retained
㼝	U+3F1D	fàn	wǎn	kMandarin17 retained
㼞	U+3F1E	pèng	bèng pèng	kMandarin17 retained
㼥	U+3F25	tǒu	tǒu kǎo	kMandarin17 retained
㼩	U+3F29	chéng	chéng shèng	kMandarin17 retained
㼫	U+3F2B	huàn	huà huǎn	kMandarin17 retained
㼮	U+3F2E	chāi	qì chāi	kMandarin17 retained
㼱	U+3F31	ruǎn	jùn ruǎn	kMandarin17 retained
㼵	U+3F35	dì	dí dì tí	kMandarin17 retained
㼷	U+3F37	chuán	zhuān chuán	kMandarin17 retained
㼹	U+3F39	kāng	kāng huāng qiāng	kMandarin17 retained
㼽	U+3F3D	chuǎng	chuǎng shuǎng	kMandarin17 retained
㼿	U+3F3F	tóng	tóng zhòng	kMandarin17 retained
㽁	U+3F41	lì	lì gé	kMandarin17 retained
㽎	U+3F4E	tán	tán xiān	kMandarin17 retained
㽖	U+3F56	nán	nán liú	kMandarin17 retained
㽙	U+3F59	jùn	jùn yǔn	kMandarin17 retained
㽛	U+3F5B	gōu	gōu qú	kMandarin17 retained
㽬	U+3F6C	fù	bì	kMandarin17 retained
㽭	U+3F6D	ruǎn	ruán	kMandarin17 retained
㽯	U+3F6F	xí	qí xī wā	kMandarin17 retained
㽰	U+3F70	shù	shū	kMandarin17 retained
㽱	U+3F71	jiǎo	niú jiǎo jiū	kMandarin17 retained
㽲	U+3F72	jiǎo	niú jiǎo jiū	kMandarin17 retained
㽹	U+3F79	fǎn	fǎn fàn	kMandarin17 retained
㾀	U+3F80	qiè	qiè qǔ	kMandarin17 retained
㾁	U+3F81	shù	chuáng shù	kMandarin17 retained
㾄	U+3F84	dú	dú chóu yóu	kMandarin17 retained
㾆	U+3F86	rán	dān chān	kMandarin17 retained
㾊	U+3F8A	jí	jí cì sè	kMandarin17 retained
㾋	U+3F8B	xiū	xiū xiù	kMandarin17 retained
㾌	U+3F8C	xuǎn	xiǎn xuǎn	kMandarin17 retained
㾏	U+3F8F	jiè	jiè yá	kMandarin17 retained
㾑	U+3F91	dá	dá da	kMandarin17 retained
㾒	U+3F92	rú	rú rù	kMandarin17 retained
㾕	U+3F95	shěn	shēn	kMandarin17 retained
㾙	U+3F99	xìn	xī xǐn xìn chī	kMandarin17 retained
㾢	U+3FA2	ài	lái lài	kMandarin17 retained
㾦	U+3FA6	pèi	pēi pèi	kMandarin17 retained
㾧	U+3FA7	kuò	kè	kMandarin17 retained
㾨	U+3FA8	yī	qǐ ǎi yī yǐ	kMandarin17 retained
㾯	U+3FAF	huī	tuí huī	kMandarin17 retained
㾹	U+3FB9	chái	zhài chái	kMandarin17 retained
㾻	U+3FBB	zhù	zhù chá chú	kMandarin17 retained
㾽	U+3FBD	zhuì	tuí zhuì	kMandarin17 retained
㾾	U+3FBE	xiān	lián xiān	kMandarin17 retained
㿃	U+3FC3	zhì	dài zhì	kMandarin17 retained
㿄	U+3FC4	ài	ài yì	kMandarin17 retained
㿅	U+3FC5	xiǎn	xiǎn xuǎn	kMandarin17 retained
㿆	U+3FC6	guō	gē	kMandarin17 retained
㿉	U+3FC9	tuǐ	tuí huī	kMandarin17 retained
㿋	U+3FCB	sào	zǎo sāo	kMandarin17 retained
㿎	U+3FCE	fèn	fén fèn	kMandarin17 retained
㿑	U+3FD1	yào	yuè	kMandarin17 retained
㿒	U+3FD2	dǎo	dǎo zhòu chóu	kMandarin17 retained
㿖	U+3FD6	lú	lú lù	kMandarin17 retained
㿗	U+3FD7	tuí	huī	kMandarin17 retained
㿙	U+3FD9	pì	bèi	kMandarin17 retained
㿜	U+3FDC	biě	biē biě	kMandarin17 retained
㿞	U+3FDE	mào	máo mào	kMandarin17 retained
㿟	U+3FDF	bái	bó	kMandarin17 retained
㿢	U+3FE2	yào	yào yuè	kMandarin17 retained
㿥	U+3FE5	hé	hú	kMandarin17 retained
㿧	U+3FE7	chóu	zhōu chóu shòu	kMandarin17 retained
㿨	U+3FE8	lì	lì luò	kMandarin17 retained
㿭	U+3FED	chè	lè chè	kMandarin17 retained
㿰	U+3FF0	áo	bì áo	kMandarin17 retained
㿵	U+3FF5	rǎn	nóu rǎn	kMandarin17 retained
㿷	U+3FF7	cuó	chuì	kMandarin17 retained
㿸	U+3FF8	wǎn	mán wǎn	kMandarin17 retained
㿺	U+3FFA	báo	bō	kMandarin17 retained
䀃	U+4003	tuí	tuí lí lǐ	kMandarin17 retained
䀎	U+400E	miǎn	pàn miǎn	kMandarin17 retained
䀐	U+4010	shān	shān shàn sǎn	kMandarin17 retained
䀑	U+4011	wò	nài wò	kMandarin17 retained
䀗	U+4017	jué	jué xuè	kMandarin17 retained
䀘	U+4018	xié	jī xī	kMandarin17 retained
䀛	U+401B	mèi	mà mèi wù	kMandarin17 retained
䀜	U+401C	gǔ	mà mèi hū wù	kMandarin17 retained
䀞	U+401E	tāo	jiǎo chōu ǎo	kMandarin17 retained
䀟	U+401F	fán	fèi fú	kMandarin17 retained
䀡	U+4021	chàn	diān zhān	kMandarin17 retained
䀣	U+4023	bì	bì mà	kMandarin17 retained
䀤	U+4024	mào	mòu	kMandarin17 retained
