character	code_point	kMandarin17	CNS11643	policy
鳥	U+9CE5	niǎo	diǎo niǎo	kMandarin17 retained
鳦	U+9CE6	yǐ	yì	kMandarin17 retained
鳪	U+9CEA	bú	bǔ	kMandarin17 retained
鳬	U+9CEC	fǔ	fú jǐ	kMandarin17 retained
鳸	U+9CF8	hù	gù hù	kMandarin17 retained
鳹	U+9CF9	qín	qián qín	kMandarin17 retained
鳺	U+9CFA	fū	fū guī	kMandarin17 retained
鳻	U+9CFB	bān	bān fēn	kMandarin17 retained
鳽	U+9CFD	jiān	jiān yán	kMandarin17 retained
鴁	U+9D01	yāo	ǎo yāo	kMandarin17 retained
鴂	U+9D02	jué	jú jué	kMandarin17 retained
鴃	U+9D03	jué	jú jué	kMandarin17 retained
鴄	U+9D04	pǐ	pī	kMandarin17 retained
鴆	U+9D06	zhèn	dàn zhèn	kMandarin17 retained
鴊	U+9D0A	zhèng	zhēng zhèng	kMandarin17 retained
鴋	U+9D0B	fāng	fǎng	kMandarin17 retained
鴐	U+9D10	gē	jiā	kMandarin17 retained
鴖	U+9D16	mín	mín wén	kMandarin17 retained
鴘	U+9D18	biǎn	biàn	kMandarin17 retained
鴡	U+9D21	jū	jū suī	kMandarin17 retained
鴢	U+9D22	yǎo	yǎo yòu	kMandarin17 retained
鴩	U+9D29	tiě	zhì yì	kMandarin17 retained
鴭	U+9D2D	duī	zhuī	kMandarin17 retained
鴶	U+9D36	jiá	jí	kMandarin17 retained
鴹	U+9D39	yáng	xiáng yáng	kMandarin17 retained
鴺	U+9D3A	tí	tí yí	kMandarin17 retained
鴼	U+9D3C	luò	lù	kMandarin17 retained
鵃	U+9D43	zhōu	diǎo zhōu	kMandarin17 retained
鵏	U+9D4F	bǔ	bū bù	kMandarin17 retained
鵕	U+9D55	jùn	jùn zùn	kMandarin17 retained
鵖	U+9D56	bī	bì jié	kMandarin17 retained
鵙	U+9D59	jú	jú jué	kMandarin17 retained
鵠	U+9D60	hú	gǔ hú	kMandarin17 retained
鵤	U+9D64	jiao	jué	kMandarin17 retained
鵧	U+9D67	pí	píng	kMandarin17 retained
鵫	U+9D6B	zhuó	zhào	kMandarin17 retained
鵭	U+9D6D	qín	jīn qián qín	kMandarin17 retained
鵲	U+9D72	què	qiǎo què	kMandarin17 retained
鵶	U+9D76	yā	yā yǎ	kMandarin17 retained
鵾	U+9D7E	kūn	jūn yùn	kMandarin17 retained
鶃	U+9D83	yì	ní yì	kMandarin17 retained
鶌	U+9D8C	jué	qū	kMandarin17 retained
鶣	U+9DA3	piān	biǎn bìn piān	kMandarin17 retained
鶤	U+9DA4	kūn	kūn yùn	kMandarin17 retained
鶨	U+9DA8	chuàn	dùn	kMandarin17 retained
鶩	U+9DA9	wù	mù wù	kMandarin17 retained
鶮	U+9DAE	hè	hé hè háo hú	kMandarin17 retained
鶴	U+9DB4	hè	hè háo	kMandarin17 retained
鶷	U+9DB7	xiá	xiá xià	kMandarin17 retained
鶻	U+9DBB	gú	gǔ hú	kMandarin17 retained
鶽	U+9DBD	sǔn	xùn zhǔn sǔn	kMandarin17 retained
鷀	U+9DC0	cí	zī cí	kMandarin17 retained
鷈	U+9DC8	tī	tí	kMandarin17 retained
鷉	U+9DC9	tī	tí	kMandarin17 retained
鷍	U+9DCD	xiāo	jiāo xiāo	kMandarin17 retained
鷎	U+9DCE	gāo	liú gāo	kMandarin17 retained
鷏	U+9DCF	tián	tián zhēn	kMandarin17 retained
鷑	U+9DD1	jí	lì jí	kMandarin17 retained
鷒	U+9DD2	tuán	tuán zhuān	kMandarin17 retained
鷛	U+9DDB	yōng	róng yōng	kMandarin17 retained
鷜	U+9DDC	lǘ	lóu	kMandarin17 retained
鷤	U+9DE4	tí	tán tí	kMandarin17 retained
鷨	U+9DE8	huá	huā huá	kMandarin17 retained
鷩	U+9DE9	bì	bì biē	kMandarin17 retained
鸀	U+9E00	shǔ	zhú shú shǔ	kMandarin17 retained
鸂	U+9E02	xī	qī xī	kMandarin17 retained
鸄	U+9E04	jī	jī jiāo	kMandarin17 retained
鸅	U+9E05	zé	zhé	kMandarin17 retained
鸌	U+9E0C	hù	huò	kMandarin17 retained
鸍	U+9E0D	mí	mí shī	kMandarin17 retained
鸏	U+9E0F	méng	máng méng měng	kMandarin17 retained
鸔	U+9E14	bǔ	bó	kMandarin17 retained
鸖	U+9E16	hè	hè háo	kMandarin17 retained
鸘	U+9E18	shuāng	shuāng shuǎng	kMandarin17 retained
鸛	U+9E1B	guàn	guàn huān quán	kMandarin17 retained
鸟	U+9E1F	niǎo	diǎo niǎo	kMandarin17 retained
鸠	U+9E20	jiū	jiū jiù qiú	kMandarin17 retained
鸦	U+9E26	yā	yā yǎ	kMandarin17 retained
鸧	U+9E27	cāng	qiāng cāng	kMandarin17 retained
鸲	U+9E32	qú	gōu qú qù	kMandarin17 retained
鸷	U+9E37	zhì	zhì zhé	kMandarin17 retained
鸼	U+9E3C	zhōu	diǎo zhōu	kMandarin17 retained
鸿	U+9E3F	hóng	hóng hòng	kMandarin17 retained
鹄	U+9E44	gǔ	gǔ gù hú	kMandarin17 retained
鹈	U+9E48	tí	tī tí	kMandarin17 retained
鹌	U+9E4C	ān	ān yā	kMandarin17 retained
鹏	U+9E4F	péng	péng fèng	kMandarin17 retained
鹑	U+9E51	chún	tuán chún	kMandarin17 retained
鹖	U+9E56	hé	hé hè	kMandarin17 retained
鹘	U+9E58	gǔ	gú hú	kMandarin17 retained
鹞	U+9E5E	yào	yáo yào	kMandarin17 retained
鹣	U+9E63	jiān	jiān qiān	kMandarin17 retained
鹥	U+9E65	yī	yī yì	kMandarin17 retained
鹬	U+9E6C	yù	shù yù	kMandarin17 retained
鹲	U+9E72	méng	máng méng	kMandarin17 retained
鹶	U+9E76	jīn	jīng	kMandarin17 retained
鹽	U+9E7D	yán	yán yàn	kMandarin17 retained
麃	U+9E83	páo	biāo páo piáo	kMandarin17 retained
麅	U+9E85	páo	biāo páo piāo piáo	kMandarin17 retained
麇	U+9E87	jūn	jūn qún	kMandarin17 retained
麉	U+9E89	jiān	jiān qiān	kMandarin17 retained
麏	U+9E8F	jūn	jūn qún	kMandarin17 retained
麕	U+9E95	jūn	jūn qún	kMandarin17 retained
麗	U+9E97	lì	lí lì	kMandarin17 retained
麙	U+9E99	xián	yán	kMandarin17 retained
麡	U+9EA1	qí	jī qí	kMandarin17 retained
麥	U+9EA5	mài	mò mài	kMandarin17 retained
麦	U+9EA6	mài	mò mài líng	kMandarin17 retained
